Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,WoodDeckSF,PoolArea,SalePrice
455,RL,63,9297,Pave,,Reg,Mitchel,Duplex,1Story,5,5,1976,1976,Gable,1728,SBrkr,1728,0,1728,2,0,4,2,8,Detchd,2,560,0,0,188000
456,RL,80,9600,Pave,,Reg,NWAmes,1Fam,1Story,7,6,1973,1973,Hip,1242,SBrkr,1242,0,1242,1,1,3,1,6,Attchd,2,528,0,0,175500
457,RM,34,4571,Pave,Grvl,Reg,OldTown,1Fam,2Story,5,5,1916,1950,Gable,624,SBrkr,624,720,1344,1,0,4,1,7,Detchd,3,513,0,0,98000
458,RL,,53227,Pave,,IR1,ClearCr,1Fam,1Story,4,6,1954,1994,Flat,1364,SBrkr,1663,0,1663,1,0,2,1,6,Attchd,2,529,224,0,256000
459,RM,,5100,Pave,Grvl,Reg,OldTown,1Fam,2Story,8,7,1925,1996,Hip,588,SBrkr,833,833,1666,1,0,3,1,7,Detchd,1,228,192,0,161000
460,RL,,7015,Pave,,IR1,BrkSide,1Fam,1.5Fin,5,4,1950,1950,Gable,709,SBrkr,979,224,1203,1,0,3,1,5,Detchd,1,352,0,0,110000
461,FV,75,8004,Pave,,IR1,Somerst,1Fam,2Story,8,5,2009,2009,Gable,832,SBrkr,832,1103,1935,2,1,3,1,8,BuiltIn,2,552,0,0,263435
462,RL,60,7200,Pave,,Reg,SWISU,1Fam,2Story,7,9,1936,2007,Gable,560,SBrkr,575,560,1135,1,0,3,1,6,Detchd,2,576,256,0,155000
463,RL,60,8281,Pave,,IR1,Sawyer,1Fam,1Story,5,5,1965,1965,Gable,864,SBrkr,864,0,864,1,0,3,1,5,Detchd,1,360,0,0,62383
464,RL,74,11988,Pave,,IR1,Crawfor,1Fam,2Story,6,7,1934,1995,Hip,715,FuseA,849,811,1660,1,1,3,1,6,Detchd,1,240,0,0,188700
465,RL,60,8430,Pave,,Reg,CollgCr,1Fam,1Story,5,5,1978,1978,Gable,1040,SBrkr,1040,0,1040,2,0,3,1,5,,0,0,0,0,124000
466,RM,,3072,Pave,,Reg,Blmngtn,TwnhsE,1Story,7,5,2004,2004,Hip,1375,SBrkr,1414,0,1414,2,0,2,1,6,Attchd,2,398,144,0,178740
467,RL,85,10628,Pave,,Reg,NAmes,1Fam,1Story,7,5,1970,1970,Flat,1277,SBrkr,1277,0,1277,1,0,2,1,5,Attchd,2,526,0,0,167000
468,RL,79,9480,Pave,,Reg,NAmes,1Fam,2Story,5,7,1942,1995,Gable,728,SBrkr,888,756,1644,1,1,3,1,7,Attchd,1,312,168,0,146500
469,RL,98,11428,Pave,,IR1,NridgHt,1Fam,1Story,8,5,2006,2006,Gable,1626,SBrkr,1634,0,1634,2,0,3,1,7,Attchd,3,866,0,0,250000
470,RL,76,9291,Pave,,IR1,SawyerW,1Fam,2Story,6,5,1993,1993,Gable,832,SBrkr,832,878,1710,2,1,3,1,7,Attchd,2,506,144,0,187000
471,RL,,6820,Pave,,IR1,StoneBr,TwnhsE,1Story,8,5,1985,1985,Gable,1488,SBrkr,1502,0,1502,1,1,1,1,4,Attchd,2,528,0,0,212000
472,RL,92,11952,Pave,,Reg,NWAmes,1Fam,2Story,7,6,1977,1977,Mansard,808,SBrkr,1161,808,1969,2,1,3,1,8,Attchd,2,534,0,0,190000
473,RM,35,3675,Pave,,Reg,Edwards,TwnhsE,SLvl,6,5,2005,2005,Gable,547,SBrkr,1072,0,1072,1,0,2,1,5,Basment,2,525,0,0,148000
474,RL,110,14977,Pave,,IR1,NridgHt,1Fam,1Story,8,5,2006,2007,Gable,1976,SBrkr,1976,0,1976,2,0,2,1,7,Attchd,3,908,250,0,440000
475,RL,41,5330,Pave,,Reg,StoneBr,TwnhsE,1Story,8,5,2000,2000,Gable,1494,SBrkr,1652,0,1652,2,0,2,1,6,Attchd,2,499,96,0,251000
476,RL,80,8480,Pave,,Reg,Sawyer,1Fam,1Story,5,6,1963,1963,Hip,970,SBrkr,970,0,970,1,0,2,1,5,Detchd,2,624,0,0,132500
477,RL,75,13125,Pave,,Reg,CollgCr,1Fam,1Story,6,5,1997,1998,Gable,1478,SBrkr,1493,0,1493,2,0,3,1,7,Attchd,2,508,140,0,208900
478,RL,105,13693,Pave,,Reg,NridgHt,1Fam,2Story,9,5,2006,2006,Hip,2153,SBrkr,2069,574,2643,2,1,3,1,9,BuiltIn,3,694,414,0,380000
479,RL,79,10637,Pave,,Reg,CollgCr,1Fam,1Story,8,5,2007,2008,Hip,1705,SBrkr,1718,0,1718,2,0,3,1,7,Attchd,3,826,208,0,297000
480,RM,50,5925,Pave,,Reg,OldTown,1Fam,1Story,4,7,1937,2000,Hip,907,SBrkr,1131,0,1131,1,0,2,1,7,Detchd,2,672,0,0,89471
481,RL,98,16033,Pave,,IR1,NridgHt,1Fam,1Story,9,5,2004,2005,Hip,1833,SBrkr,1850,0,1850,2,0,3,1,8,Attchd,3,772,519,0,326000
482,RL,72,11846,Pave,,IR1,NridgHt,1Fam,1Story,9,5,2003,2004,Hip,1792,SBrkr,1792,0,1792,2,0,2,1,6,Attchd,3,874,206,0,374000
483,RM,50,2500,Pave,Pave,Reg,OldTown,1Fam,2Story,7,8,1915,2005,Gable,910,SBrkr,916,910,1826,1,1,4,1,7,Attchd,1,164,0,0,155000
484,RM,32,4500,Pave,,Reg,Mitchel,Twnhs,1Story,6,5,1998,1998,Hip,1216,SBrkr,1216,0,1216,2,0,2,1,5,Attchd,2,402,0,0,164000
485,RL,,7758,Pave,,IR1,Sawyer,1Fam,1Story,5,7,1962,2001,Gable,999,SBrkr,999,0,999,1,0,3,1,6,Detchd,1,264,0,0,132500
486,RL,80,9600,Pave,,Reg,NAmes,1Fam,1Story,5,7,1950,2007,Gable,1113,SBrkr,1113,0,1113,1,0,3,1,5,Attchd,1,264,0,0,147000
487,RL,79,10289,Pave,,Reg,NAmes,1Fam,1Story,5,7,1965,1965,Hip,1073,SBrkr,1073,0,1073,1,1,3,1,6,Attchd,2,515,0,0,156000
488,RL,70,12243,Pave,,IR1,NWAmes,1Fam,1Story,5,6,1971,1971,Gable,1484,SBrkr,1484,0,1484,2,0,3,1,7,Attchd,2,487,224,0,175000
489,RL,60,10800,Pave,,Reg,OldTown,2fmCon,1.5Fin,5,4,1900,1970,Gable,954,FuseA,1766,648,2414,2,0,3,2,10,Attchd,2,520,142,0,160000
490,RM,21,1526,Pave,,Reg,MeadowV,Twnhs,SFoyer,4,8,1970,2002,Gable,630,SBrkr,630,0,630,1,0,1,1,3,Attchd,1,286,0,0,86000
491,RM,,2665,Pave,,Reg,MeadowV,TwnhsE,2Story,5,6,1976,1976,Gable,264,SBrkr,616,688,1304,1,1,3,1,4,BuiltIn,1,336,141,0,115000
492,RL,79,9490,Pave,,Reg,NAmes,1Fam,1.5Fin,6,7,1941,1950,Gable,806,FuseA,958,620,1578,1,0,3,1,5,Attchd,1,240,0,0,133000
493,RL,105,15578,Pave,,IR1,Gilbert,1Fam,2Story,6,5,2006,2006,Gable,728,SBrkr,728,728,1456,2,1,3,1,8,Attchd,2,429,0,0,172785
494,RL,70,7931,Pave,,Reg,NAmes,1Fam,1Story,5,6,1960,1960,Gable,1269,FuseA,1269,0,1269,1,1,3,1,6,Detchd,1,308,0,0,155000
495,RM,50,5784,Pave,,Reg,OldTown,1Fam,1Story,5,8,1938,1996,Gable,190,FuseA,886,0,886,1,0,2,1,4,Attchd,1,273,144,0,91300
496,C (all),60,7879,Pave,,Reg,IDOTRR,1Fam,1Story,4,5,1920,1950,Gable,720,FuseA,720,0,720,1,0,2,1,4,,0,0,0,0,34900
497,RL,,12692,Pave,,IR1,NoRidge,1Fam,1Story,8,5,1992,1993,Hip,3200,SBrkr,3228,0,3228,3,0,4,1,10,Attchd,2,546,264,0,430000
498,RL,60,9120,Pave,Pave,Reg,BrkSide,1Fam,1.5Fin,7,6,1925,1950,Gable,1026,SBrkr,1133,687,1820,2,0,4,1,8,Detchd,1,240,0,0,184000
499,RL,65,7800,Pave,,Reg,Sawyer,1Fam,1Story,5,7,1967,2004,Hip,864,SBrkr,899,0,899,1,0,3,1,5,Attchd,1,288,64,0,130000
500,RL,70,7535,Pave,,IR1,NAmes,1Fam,1Story,5,7,1958,1985,Gable,912,SBrkr,912,0,912,1,0,2,1,5,Attchd,1,297,12,0,120000
501,RM,21,1890,Pave,,Reg,BrDale,Twnhs,2Story,6,5,1973,1973,Gable,672,SBrkr,672,546,1218,1,1,3,1,7,Detchd,1,264,144,0,113000
502,FV,75,9803,Pave,,Reg,Somerst,1Fam,2Story,7,5,2005,2005,Gable,866,SBrkr,866,902,1768,2,1,3,1,7,Attchd,2,603,0,0,226700
503,RL,70,9170,Pave,,Reg,Edwards,1Fam,1Story,5,7,1965,1965,Hip,1214,SBrkr,1214,0,1214,1,0,2,1,6,Detchd,2,461,0,0,140000
504,RL,100,15602,Pave,,IR1,Crawfor,1Fam,1Story,7,8,1959,1997,Gable,1501,SBrkr,1801,0,1801,2,0,1,1,6,Attchd,2,484,0,0,289000
505,RL,24,2308,Pave,,Reg,NPkVill,TwnhsE,2Story,6,5,1974,1974,Gable,855,SBrkr,855,467,1322,2,1,3,1,6,Attchd,2,440,260,0,147000
506,RM,60,7596,Pave,Grvl,Reg,OldTown,Duplex,2Story,5,5,1952,1952,Hip,960,SBrkr,960,1000,1960,2,0,4,2,10,Detchd,2,400,0,0,124500
507,RL,80,9554,Pave,,IR1,SawyerW,1Fam,2Story,8,5,1993,1994,Gable,777,SBrkr,1065,846,1911,2,1,3,1,8,Attchd,2,471,182,0,215000
508,FV,75,7862,Pave,,IR1,Somerst,1Fam,1Story,6,5,2009,2009,Gable,1218,SBrkr,1218,0,1218,2,0,2,1,4,Attchd,2,676,0,0,208300
509,RM,60,9600,Pave,,Reg,OldTown,1Fam,2Story,7,9,1928,2005,Gambrel,689,SBrkr,689,689,1378,2,0,3,1,7,Detchd,2,360,0,0,161000
510,RL,80,9600,Pave,,Reg,NAmes,1Fam,1Story,5,6,1959,1959,Gable,1041,SBrkr,1041,0,1041,1,0,3,1,6,Attchd,1,270,224,0,124500
511,RL,75,14559,Pave,,Reg,NAmes,1Fam,1Story,5,7,1951,2000,Hip,1008,SBrkr,1363,0,1363,1,0,2,1,6,CarPort,1,288,324,0,164900
512,RL,40,6792,Pave,,IR1,NridgHt,TwnhsE,1Story,7,5,2005,2006,Gable,1368,SBrkr,1368,0,1368,2,0,2,1,6,Attchd,2,474,132,0,202665
513,RL,70,9100,Pave,,Reg,NAmes,1Fam,1Story,5,5,1958,1958,Gable,864,SBrkr,864,0,864,1,0,3,1,5,Detchd,2,624,0,0,129900
514,RL,71,9187,Pave,,Reg,Mitchel,1Fam,1Story,6,5,1983,1983,Gable,1084,SBrkr,1080,0,1080,1,1,3,1,5,Attchd,2,484,120,0,134000
515,RL,55,10594,Pave,,Reg,Crawfor,1Fam,1.5Unf,5,5,1926,1950,Gable,768,SBrkr,789,0,789,1,0,2,1,5,Detchd,1,200,0,0,96500
516,RL,94,12220,Pave,,Reg,NridgHt,1Fam,1Story,10,5,2009,2009,Hip,2006,SBrkr,2020,0,2020,2,1,3,1,9,Attchd,3,900,156,0,402861
517,RL,,10448,Pave,,IR1,NWAmes,1Fam,SLvl,6,6,1972,1972,Gable,689,SBrkr,1378,741,2119,2,1,3,1,7,Attchd,2,583,0,0,158000
518,RL,79,10208,Pave,,IR1,NoRidge,1Fam,2Story,7,5,1996,1997,Gable,1264,SBrkr,1277,1067,2344,2,1,3,1,7,Attchd,3,889,220,0,265000
519,RL,,9531,Pave,,IR1,CollgCr,1Fam,2Story,6,5,1998,1998,Gable,794,SBrkr,882,914,1796,2,1,3,1,7,Attchd,2,546,0,0,211000
520,RL,53,10918,Pave,,Reg,Crawfor,1Fam,2Story,7,9,1926,2004,Gambrel,1276,SBrkr,1276,804,2080,1,1,3,1,9,Detchd,1,282,0,0,234000
521,RL,60,10800,Pave,Grvl,Reg,OldTown,2fmCon,2Story,4,7,1900,2000,Gable,0,FuseA,694,600,1294,2,0,3,2,7,,0,0,220,0,106250
522,RL,90,11988,Pave,,IR1,NAmes,1Fam,1Story,6,6,1957,1957,Gable,1244,FuseA,1244,0,1244,1,1,3,1,6,Attchd,1,336,0,0,150000
523,RM,50,5000,Pave,,Reg,BrkSide,1Fam,1.5Fin,6,7,1947,1950,Gable,1004,SBrkr,1004,660,1664,2,0,3,1,7,Detchd,2,420,0,0,159000
524,RL,130,40094,Pave,,IR1,Edwards,1Fam,2Story,10,5,2007,2008,Hip,3138,SBrkr,3138,1538,4676,3,1,3,1,11,BuiltIn,3,884,208,0,184750
525,RL,95,11787,Pave,,IR1,NoRidge,1Fam,2Story,7,5,1996,1997,Gable,1379,SBrkr,1383,1015,2398,2,1,3,1,8,Attchd,3,834,239,0,315750
526,FV,62,7500,Pave,Pave,Reg,Somerst,1Fam,1Story,7,5,2005,2005,Gable,1257,SBrkr,1266,0,1266,2,0,3,1,6,Attchd,2,453,38,0,176000
527,RL,70,13300,Pave,,Reg,NAmes,1Fam,1Story,5,7,1956,2000,Hip,928,SBrkr,928,0,928,1,0,2,1,4,Attchd,1,252,261,0,132000
528,RL,67,14948,Pave,,IR1,NridgHt,1Fam,2Story,9,5,2008,2008,Hip,1452,SBrkr,1476,1237,2713,2,1,3,1,11,Attchd,3,858,126,0,446261
529,RL,58,9098,Pave,,IR1,Edwards,1Fam,1Story,4,7,1920,2002,Gable,528,SBrkr,605,0,605,1,0,2,1,5,,0,0,0,0,86000
530,RL,,32668,Pave,,IR1,Crawfor,1Fam,1Story,6,3,1957,1975,Hip,2035,SBrkr,2515,0,2515,3,0,4,2,9,Attchd,2,484,0,0,200624
531,RL,85,10200,Pave,,Reg,Timber,1Fam,SLvl,6,5,1988,1989,Gable,1461,SBrkr,1509,0,1509,2,0,3,1,5,Attchd,2,600,224,0,175000
532,RM,60,6155,Pave,,IR1,BrkSide,1Fam,2Story,6,8,1920,1999,Gable,611,SBrkr,751,611,1362,2,0,3,1,6,Detchd,2,502,0,0,128000
533,RL,60,7200,Pave,,Reg,NAmes,1Fam,1Story,5,7,1955,2007,Gable,0,SBrkr,827,0,827,1,0,2,1,5,Detchd,1,392,0,0,107500
534,RL,50,5000,Pave,,Reg,BrkSide,1Fam,1Story,1,3,1946,1950,Gable,0,FuseF,334,0,334,1,0,1,1,2,,0,0,0,0,39300
535,RL,74,9056,Pave,,IR1,Gilbert,1Fam,2Story,8,5,2004,2004,Gable,707,SBrkr,707,707,1414,2,1,3,1,6,Attchd,2,403,100,0,178000
536,RL,70,7000,Pave,,Reg,Edwards,2fmCon,2Story,5,7,1910,1991,Gable,1117,SBrkr,820,527,1347,1,0,3,1,5,,0,0,85,0,107500
537,RL,57,8924,Pave,,IR1,CollgCr,1Fam,2Story,7,5,1998,1999,Gable,880,SBrkr,880,844,1724,2,1,3,1,8,Attchd,2,527,120,0,188000
538,RL,,12735,Pave,,IR1,NAmes,1Fam,1Story,4,5,1972,1972,Hip,864,SBrkr,864,0,864,1,0,3,1,5,Detchd,2,576,216,0,111250
539,RL,,11553,Pave,,IR1,Sawyer,1Fam,1Story,5,5,1968,1968,Hip,1051,SBrkr,1159,0,1159,1,1,3,1,7,Attchd,1,336,466,0,158000
540,RL,,11423,Pave,,Reg,CollgCr,1Fam,1Story,8,5,2001,2002,Gable,1581,SBrkr,1601,0,1601,2,0,3,1,6,Attchd,2,670,180,0,272000
541,RL,85,14601,Pave,,Reg,Timber,1Fam,1Story,9,5,2006,2006,Hip,1838,SBrkr,1838,0,1838,2,0,2,1,8,Attchd,3,765,270,0,315000
542,RL,,11000,Pave,,Reg,NoRidge,1Fam,2Story,8,5,2000,2000,Gable,969,SBrkr,997,1288,2285,2,1,4,1,8,BuiltIn,3,648,0,0,248000
543,RL,78,10140,Pave,,Reg,NWAmes,1Fam,1Story,7,5,1998,1999,Hip,1650,SBrkr,1680,0,1680,2,0,3,1,7,Attchd,2,583,78,0,213250
544,RH,34,4058,Pave,,Reg,NAmes,TwnhsE,SFoyer,7,5,1998,1998,Gable,723,SBrkr,767,0,767,1,0,1,1,4,Attchd,1,367,120,0,133000
545,RL,58,17104,Pave,,IR1,Gilbert,1Fam,2Story,7,5,2006,2006,Gable,654,SBrkr,664,832,1496,2,1,3,1,7,Attchd,2,426,100,0,179665
546,RL,,13837,Pave,,IR1,NWAmes,1Fam,1.5Fin,7,5,1988,1988,Gable,1204,SBrkr,1377,806,2183,2,1,4,1,9,Attchd,3,786,0,0,229000
547,RL,70,8737,Pave,,IR1,BrkSide,1Fam,1.5Fin,6,7,1923,1950,Gable,1065,FuseA,915,720,1635,1,1,3,1,6,Detchd,2,440,0,0,210000
548,RL,54,7244,Pave,,Reg,Mitchel,1Fam,SFoyer,5,7,1970,1970,Gable,768,SBrkr,768,0,768,1,0,2,1,5,Detchd,2,624,104,0,129500
549,RM,49,8235,Pave,,IR1,OldTown,1Fam,1Story,5,7,1955,1995,Gable,825,SBrkr,825,0,825,1,0,2,1,4,Detchd,2,720,140,0,125000
550,FV,75,9375,Pave,,Reg,Somerst,1Fam,2Story,7,5,2003,2004,Gable,912,SBrkr,912,1182,2094,2,1,4,1,8,BuiltIn,2,615,182,0,263000
551,RL,53,4043,Pave,,Reg,NPkVill,TwnhsE,1Story,6,6,1977,1977,Gable,1069,SBrkr,1069,0,1069,2,0,2,1,4,Attchd,2,440,0,0,140000
552,RM,50,6000,Pave,,Reg,OldTown,1Fam,1Story,5,6,1957,1957,Hip,928,FuseA,928,0,928,1,0,3,1,5,Attchd,1,288,0,0,112500
553,RL,87,11146,Pave,,IR1,NridgHt,1Fam,1Story,8,5,2006,2006,Gable,1709,SBrkr,1717,0,1717,2,0,3,1,7,Attchd,3,908,169,0,255500
554,RL,67,8777,Pave,,Reg,Edwards,1Fam,1Story,4,5,1949,2003,Gable,0,SBrkr,1126,0,1126,2,0,2,1,5,Detchd,2,520,0,0,108000
555,RL,85,10625,Pave,,Reg,NridgHt,1Fam,2Story,7,5,2003,2004,Gable,998,SBrkr,1006,1040,2046,2,1,3,1,8,BuiltIn,3,871,320,0,284000
556,RM,58,6380,Pave,,Reg,BrkSide,1Fam,1.5Unf,5,6,1922,1950,Gable,993,FuseA,1048,0,1048,1,0,2,1,5,Detchd,1,280,0,0,113000
557,RL,69,14850,Pave,,IR1,NAmes,1Fam,1Story,5,5,1957,1957,Gable,1092,FuseA,1092,0,1092,1,0,2,1,6,Attchd,1,299,268,0,141000
558,C (all),60,11040,Pave,,Reg,IDOTRR,1Fam,1.5Fin,4,6,1920,1950,Gable,637,SBrkr,897,439,1336,1,1,3,1,7,CarPort,1,570,0,0,108000
559,RL,57,21872,Pave,,IR2,Gilbert,1Fam,2Story,7,5,1996,1997,Gable,729,SBrkr,729,717,1446,2,1,3,1,6,Attchd,2,406,264,0,175000
560,RL,,3196,Pave,,Reg,Blmngtn,TwnhsE,1Story,7,5,2003,2004,Gable,1374,SBrkr,1557,0,1557,2,0,2,1,7,Attchd,2,420,143,0,234000
561,RL,,11341,Pave,,IR1,Sawyer,1Fam,1Story,5,6,1957,1996,Hip,1392,SBrkr,1392,0,1392,1,1,3,1,5,Detchd,2,528,0,0,121500
562,RL,77,10010,Pave,,Reg,Mitchel,1Fam,1Story,5,5,1974,1975,Gable,1389,SBrkr,1389,0,1389,1,0,2,1,6,Attchd,2,418,240,0,170000
563,RL,63,13907,Pave,,Reg,Edwards,1Fam,1Story,5,6,1940,1969,Gable,996,SBrkr,996,0,996,1,0,3,1,6,,0,0,144,0,108000
564,RL,66,21780,Pave,,Reg,Edwards,1Fam,1.5Fin,6,7,1918,1950,Gable,1163,SBrkr,1163,511,1674,2,0,4,1,8,Detchd,2,396,72,0,185000
565,RL,,13346,Pave,,IR1,NoRidge,1Fam,2Story,7,5,1992,2000,Gable,1095,SBrkr,1166,1129,2295,2,1,4,1,9,Attchd,2,590,0,0,268000
566,RL,66,6858,Pave,,Reg,SWISU,1Fam,2Story,6,4,1915,1950,Gable,806,FuseF,841,806,1647,1,1,4,1,6,Detchd,1,216,0,0,128000
567,RL,77,11198,Pave,,IR1,StoneBr,1Fam,2Story,9,5,2005,2007,Hip,1122,SBrkr,1134,1370,2504,2,1,4,1,11,BuiltIn,3,656,144,0,325000
568,RL,70,10171,Pave,,IR1,NridgHt,1Fam,1Story,7,5,2004,2004,Gable,1517,SBrkr,1535,0,1535,2,0,3,1,7,Attchd,2,532,0,0,214000
569,RL,79,12327,Pave,,IR1,SawyerW,1Fam,1.5Fin,8,8,1983,2009,Gable,1496,SBrkr,1496,636,2132,1,1,1,1,5,BuiltIn,2,612,349,0,316600
570,RL,,7032,Pave,,IR1,NAmes,Duplex,SFoyer,5,5,1979,1979,Gable,943,SBrkr,943,0,943,1,0,2,1,4,Detchd,2,600,42,0,135960
571,RL,74,13101,Pave,,IR1,NAmes,Duplex,1Story,5,5,1965,1965,Gable,1728,SBrkr,1728,0,1728,2,0,6,2,10,Detchd,2,576,0,0,142600
572,RL,60,7332,Pave,,Reg,NAmes,1Fam,1Story,6,6,1959,1959,Gable,864,SBrkr,864,0,864,1,0,2,1,4,Attchd,1,288,168,0,120000
573,RL,83,13159,Pave,,IR1,Timber,1Fam,2Story,7,5,2009,2009,Gable,846,SBrkr,846,846,1692,2,1,3,1,6,Attchd,2,650,208,0,224500
574,RL,76,9967,Pave,,IR1,Gilbert,1Fam,SLvl,7,5,2000,2000,Gable,384,SBrkr,774,656,1430,2,1,3,1,8,BuiltIn,2,400,100,0,170000
575,RL,70,10500,Pave,,Reg,NAmes,1Fam,SLvl,5,7,1971,2005,Gambrel,372,SBrkr,576,533,1109,1,0,3,1,5,BuiltIn,1,288,35,0,139000
576,RL,80,8480,Pave,,Reg,NAmes,1Fam,1.5Fin,5,5,1947,1950,Gable,832,SBrkr,832,384,1216,1,0,2,1,6,Detchd,1,336,158,0,118500
577,RL,52,6292,Pave,,Reg,SWISU,1Fam,1.5Fin,7,7,1928,1950,Gable,861,SBrkr,877,600,1477,2,0,3,1,6,Detchd,1,216,0,0,145000
578,RL,96,11777,Pave,,IR1,Sawyer,1Fam,SLvl,5,6,1966,1966,Gable,1164,SBrkr,1320,0,1320,1,0,3,1,6,Attchd,2,564,160,0,164500
579,FV,34,3604,Pave,Pave,Reg,Somerst,TwnhsE,2Story,7,5,2007,2007,Gable,689,SBrkr,703,689,1392,2,0,2,1,5,Detchd,2,540,0,0,146000
580,RM,81,12150,Pave,Grvl,Reg,OldTown,1Fam,1.5Fin,5,5,1954,1954,Gable,1050,FuseF,1050,745,1795,2,0,4,1,7,Attchd,1,352,0,0,131500
581,RL,,14585,Pave,,IR1,NAmes,1Fam,1Story,6,6,1960,1987,Gable,1144,SBrkr,1429,0,1429,1,0,3,1,7,Attchd,2,572,216,0,181900
582,RL,98,12704,Pave,,Reg,NridgHt,1Fam,1Story,8,5,2008,2009,Hip,2042,SBrkr,2042,0,2042,2,1,3,1,8,Attchd,3,1390,0,0,253293
583,RL,81,11841,Grvl,,Reg,Edwards,Duplex,SFoyer,6,5,1990,1990,Gable,816,SBrkr,816,0,816,1,0,3,1,5,,0,0,0,0,118500
584,RM,75,13500,Pave,,Reg,OldTown,1Fam,2.5Unf,10,9,1893,2000,Gable,1237,SBrkr,1521,1254,2775,3,1,3,1,9,Detchd,2,880,105,0,325000
585,RM,51,6120,Pave,,Reg,BrkSide,1Fam,1.5Fin,4,7,1935,1995,Gable,884,SBrkr,989,584,1573,1,0,3,1,6,Detchd,1,240,0,0,133000
586,RL,88,11443,Pave,,Reg,Timber,1Fam,1Story,8,5,2005,2006,Hip,1868,SBrkr,2028,0,2028,2,0,2,1,7,Attchd,3,880,326,0,369900
587,RL,55,10267,Pave,,Reg,BrkSide,1Fam,1Story,6,7,1918,2000,Gable,816,SBrkr,838,0,838,1,0,2,1,5,Detchd,1,275,0,0,130000
588,RL,74,8740,Pave,,IR1,Sawyer,1Fam,SFoyer,5,6,1982,1982,Hip,840,SBrkr,860,0,860,1,0,2,1,4,Detchd,2,528,0,0,137000
589,RL,65,25095,Pave,,IR1,ClearCr,1Fam,1Story,5,8,1968,2003,Flat,1437,SBrkr,1473,0,1473,1,0,1,1,5,Attchd,1,452,0,0,143000
590,RM,50,9100,Pave,,Reg,BrkSide,1Fam,1Story,5,6,1930,1960,Gable,742,FuseA,779,0,935,1,0,2,1,4,Detchd,1,308,0,0,79500
591,RL,64,8320,Pave,,Reg,CollgCr,1Fam,2Story,7,5,2004,2004,Gable,770,SBrkr,770,812,1582,2,1,3,1,6,Attchd,2,520,0,0,185900
592,RL,97,13478,Pave,,IR1,NridgHt,1Fam,2Story,10,5,2008,2008,Gable,1722,SBrkr,1728,568,2296,2,1,3,1,10,BuiltIn,3,842,382,0,451950
593,RL,60,6600,Pave,,Reg,Mitchel,1Fam,1Story,5,8,1982,2003,Gable,816,SBrkr,816,0,816,1,0,2,1,4,Detchd,2,816,0,0,138000
594,RM,,4435,Pave,,Reg,CollgCr,TwnhsE,1Story,6,5,2003,2003,Gable,848,SBrkr,848,0,848,1,0,1,1,4,Attchd,2,420,140,0,140000
595,RL,88,7990,Pave,,IR1,CollgCr,1Fam,1Story,5,6,1975,1975,Hip,924,SBrkr,924,0,924,1,0,3,1,5,Detchd,1,280,0,0,110000
596,RL,69,11302,Pave,,IR1,StoneBr,1Fam,1Story,8,5,2005,2006,Gable,1814,SBrkr,1826,0,1826,2,0,3,1,7,Attchd,3,758,180,0,319000
597,RM,60,3600,Pave,Grvl,Reg,OldTown,1Fam,2Story,6,7,1910,1993,Gable,684,FuseA,684,684,1368,1,0,3,1,7,Detchd,1,216,0,0,114504
598,RL,53,3922,Pave,,Reg,Blmngtn,TwnhsE,1Story,7,5,2006,2007,Gable,1258,SBrkr,1402,0,1402,0,2,2,1,7,Attchd,3,648,120,0,194201
599,RL,80,12984,Pave,,Reg,Crawfor,1Fam,1Story,5,6,1977,1977,Gable,1430,SBrkr,1647,0,1647,2,0,3,1,7,Attchd,2,621,0,0,217500
600,RM,24,1950,Pave,,Reg,Blueste,Twnhs,2Story,6,6,1980,1980,Gable,716,SBrkr,716,840,1556,2,1,3,1,6,Attchd,2,452,161,0,151000
601,RL,74,10927,Pave,,Reg,NridgHt,1Fam,2Story,8,5,2005,2005,Gable,1058,SBrkr,1058,846,1904,2,1,3,1,8,BuiltIn,2,736,179,0,275000
602,RM,50,9000,Pave,,Reg,IDOTRR,1Fam,1.5Fin,6,6,1937,1950,Gable,780,SBrkr,780,595,1375,1,1,3,1,6,Detchd,1,544,0,0,141000
603,RL,80,10041,Pave,,IR1,SawyerW,1Fam,2Story,8,5,1992,1992,Gable,908,SBrkr,927,988,1915,2,1,3,1,8,Attchd,2,506,120,0,220000
604,FV,30,3182,Pave,Pave,Reg,Somerst,TwnhsE,2Story,7,5,2004,2005,Gable,600,SBrkr,600,600,1200,2,1,2,1,4,Detchd,2,480,0,0,151000
605,RL,88,12803,Pave,,IR1,CollgCr,1Fam,1Story,7,5,2002,2002,Gable,1494,SBrkr,1494,0,1494,2,0,3,1,6,Attchd,2,530,192,0,221000
606,RL,85,13600,Pave,,Reg,NAmes,1Fam,2Story,7,6,1965,1990,Gable,768,SBrkr,1186,800,1986,2,1,3,1,7,Attchd,2,486,0,0,205000
